id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
194,,IDKPwm;0,4763,,FALSE,TRUE
195,,IDPs;0,4763,,FALSE,TRUE
196,,MTTg;0,4763,,FALSE,TRUE
197,,IDQpuf;0,4763,,FALSE,TRUE
198,,IDQTf;0,4763,,FALSE,TRUE
199,,IDY1nmh;0,4763,,FALSE,TRUE
200,,MTKfh;0,4763,,FALSE,TRUE
201,,MTpCAp;0,4763,,FALSE,TRUE
202,,WApCAv;0,4763,,FALSE,TRUE
203,,IDY4s;0,4763,,FALSE,TRUE
204,,WAEOv1a;0,4763,,FALSE,TRUE
205,,IDPPNc;0,4763,,FALSE,TRUE
206,,WAPOc;0,4763,,FALSE,TRUE
207,,WApEO2;0,4763,,FALSE,TRUE
208,,IDPNM;0,4763,,FALSE,TRUE
209,,IDPZl;0,4763,,FALSE,TRUE
210,,WAK;0,4763,,FALSE,TRUE
211,,IDTKcg;0,4763,,FALSE,TRUE
212,,IDTKib;0,4763,,FALSE,TRUE
213,,MTKmo;0,4763,,FALSE,TRUE
214,,IDYs;0,4763,,FALSE,TRUE
215,,IDTmb;0,4763,,FALSE,TRUE
216,,MTTwc;0,4763,,FALSE,TRUE
217,,IDTYmix;0,4763,,FALSE,TRUE
218,,WAMZv;0,4763,,FALSE,TRUE
219,,IDZ1s;0,4763,,FALSE,TRUE
220,,MTKib;0,4763,,FALSE,TRUE
221,,IDMs;0,4763,,FALSE,TRUE
222,,MTpCAn;0,4763,,FALSE,TRUE
223,,MTKtc;0,4763,,FALSE,TRUE
224,,MTpCAm;0,4763,,FALSE,TRUE
225,,WAJv;0,4763,,FALSE,TRUE
226,,IDTmf;0,4763,,FALSE,TRUE
227,,WAP;0,4763,,FALSE,TRUE
228,,MTKcb;0,4763,,FALSE,TRUE
229,,IDQpt;0,4763,,FALSE,TRUE
230,,MTPZ;0,4763,,FALSE,TRUE
231,,MTKh;0,4763,,FALSE,TRUE
232,,IDTm2b;0,4763,,FALSE,TRUE
233,,IDQd;0,4763,,FALSE,TRUE
234,,WACAph;0,4763,,FALSE,TRUE
235,,WApJs;0,4763,,FALSE,TRUE
236,,WApCAph;0,4763,,FALSE,TRUE
237,,IDYifm;0,4763,,FALSE,TRUE
238,,IDQpm1f;0,4763,,FALSE,TRUE
239,,MTPAu;0,4763,,FALSE,TRUE
240,,WAQcl;0,4763,,FALSE,TRUE
241,,IDQrw;0,4763,,FALSE,TRUE
242,,IDTevi;0,4763,,FALSE,TRUE
243,,IDMc;0,4763,,FALSE,TRUE
244,,WAEOv1;0,4763,,FALSE,TRUE
245,,MTKt;0,4763,,FALSE,TRUE
246,,IDZn;0,4763,,FALSE,TRUE
247,,IDQs;0,4763,,FALSE,TRUE
248,,WAOGc;0,4763,,FALSE,TRUE
249,,IDQpmg;0,4763,,FALSE,TRUE
250,,IDY4n;0,4763,,FALSE,TRUE
251,,MTpCApi?;0,4763,,FALSE,TRUE
252,,IDTRu;0,4763,,FALSE,TRUE
253,,WApMg;0,4763,,FALSE,TRUE
254,,IDY2nm;0,4763,,FALSE,TRUE
255,,MTTs;0,4763,,FALSE,TRUE
256,,WApMm;0,4763,,FALSE,TRUE
257,,WAPOQv;0,4763,,FALSE,TRUE
258,,MTpCAm?;0,4763,,FALSE,TRUE
259,,WAPZl;0,4763,,FALSE,TRUE
260,,WApCAc;0,4763,,FALSE,TRUE
261,,MTpCAga;0,4763,,FALSE,TRUE
262,,IDQpd;0,4763,,FALSE,TRUE
263,,WACP;0,4763,,FALSE,TRUE
264,,MTKv;0,4763,,FALSE,TRUE
265,,IDJ;0,4763,,FALSE,TRUE
