CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
2,d00260dd1135143d32bd341f054d504e589658ad6cad63557166c19581b06044,https://ngmdb.usgs.gov/Prodesc/proddesc_8879.htm,Download,8879,74437,,,,,
2,64b467b775a359b709b725a651a64ba369968c261ca61eb69cb68b36cd64c06c,https://ngmdb.usgs.gov/Prodesc/proddesc_9408.htm,Download,9408,74297,,,,,
2,609918e51cf50ec53645374d15a512e71ce5349d24b623256925d18199b1d0f1,https://ngmdb.usgs.gov/Prodesc/proddesc_9408.htm,Download,9408,74298,,,,,
2,b1c29c369e3f9ec39f4f969696c696669c569c9691de9196919e879689c61cc8,https://ngmdb.usgs.gov/Prodesc/proddesc_2299.htm,Download,2299,24427,,,,,
2,59ca1c331e3f9ec79f4b96679d6f96679cbf9cbf911f9496948f8f478bce1c8b,https://ngmdb.usgs.gov/Prodesc/proddesc_2299.htm,Download,2299,24429,,,,,
2,d3ca3c331b3795b39d23946795af86bf94bf9d1f961794969c878a678bd61c8a,https://ngmdb.usgs.gov/Prodesc/proddesc_2299.htm,Download,2299,24430,,,,,
2,c52034e914e956ed5a691c694de905a925ad64a946ed44edc60d44e9c4a8c420,https://ngmdb.usgs.gov/Prodesc/proddesc_9346.htm,Download,9346,74295,,,,,
2,48d8ccdacbd9ccd346db47dbc3d303df13cd13cf09d727c762c74cc746d384cd,https://ngmdb.usgs.gov/Prodesc/proddesc_6248.htm,Download,6248,29166,,,,,
2,706091164d1e4d3fca3cca59c0618c81cc1f4c6d1c4d8c3b8cfb50db9c5b092c,https://ngmdb.usgs.gov/Prodesc/proddesc_25513.htm,Download,25513,9683,,,,,
2,6244939950c370e710e741f307354a66c8fb818ac18d47e3c7674763c7629086,https://ngmdb.usgs.gov/Prodesc/proddesc_25513.htm,Download,25513,9682,,,,,
2,307180ac60163c464c3949130d07221d825b91fa71bb73b392f381b3017b0079,https://ngmdb.usgs.gov/Prodesc/proddesc_25513.htm,Download,25513,9684,,,,,
2,49c829f2397828da2c7834d85678126792d792d7b2d9496704f73e13341a81ec,https://ngmdb.usgs.gov/Prodesc/proddesc_25513.htm,Download,25513,9681,,,,,
2,6dc52ca54c254cc54c551c551c550d150c450e4522456a5569154d956195649d,https://ngmdb.usgs.gov/Prodesc/proddesc_10194.htm,Download,10194,2547,yes,yes,Result Download,Result Download,
2,4ab446794c3d193d4f354cf555954db54eb567b4120518b55a1558d75ad543b7,https://ngmdb.usgs.gov/Prodesc/proddesc_13038.htm,Download,13038,1334,yes,yes,Result Download,Result Download,
2,78015ae11acb1d7b496d6a6d0a7b6b6e237e166e5aef24ed2aaf079a858dca61,https://ngmdb.usgs.gov/Prodesc/proddesc_22659.htm,Download,22659,22232,,,,,
