slug,name,url,ref_title,authors,ref_year,ref_source,isbn_doi,license,keywords,scale_denominator,language,description
japan_tsuruoka,"Tsuruoka, Yamagata, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Tsuruoka District,"Nobuyuki TSUCHIYA, Atsushi OZAWA and Yutaka IKEBE",1984,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_064.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-064;YAMAGATA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsuruoka District
japan_tsuta,"Tsuta, Hiroshima, Yamaguchi, Shimane, Japan",https://www.gsj.jp/Map/EN/geology4-13.html,Geology of the Tsuta District,"Yuhei TAKAHASHI, Hiroshi MAKIMOTO, Koji WAKITA and Akira SAKAI",1989,https://www.gsj.jp/Map/EN/docs/5man_doc/13/13_001.htm,,Geological Survey of Japan,"13 [KOCHI]-001;HIROSHIMA, YAMAGUCHI, SHIMANE;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsuta District
japan_tsuya,"Tsuya, Miyagi, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Tsuya District,Kotaro KAMADA,1993,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_071.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-071;MIYAGI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Tsuya District
japan_tsuyama_tobu,"Tsuyama Tobu, Okayama, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,"Explanatory Text of the Geological Map of Japan, Tsuyama-Tobu",Masatora KAWAI,1958,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_044.htm,,Geological Survey of Japan,"12 [OKAYAMA]-044;OKAYAMA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Tsuyama-Tobu"
japan_ube,"Ube, Yamaguchi, Fukuoka, Japan",https://www.gsj.jp/Map/EN/geology4-14.html,"Explanatory Text of the Geological Map of Japan, Ube",Kiyoto KIYOHARA,1956,https://www.gsj.jp/Map/EN/docs/5man_doc/14/14_035.htm,,Geological Survey of Japan,"14 [FUKUOKA]-035;YAMAGUCHI, FUKUOKA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Ube"
japan_ube_tobu,"Ube Tobu, Yamaguchi, Japan",https://www.gsj.jp/Map/EN/geology4-14.html,"Explanatory Text of the Geological Map of Japan, Ube-Tobu",Michiya KOUNO,1955,https://www.gsj.jp/Map/EN/docs/5man_doc/14/14_036.htm,,Geological Survey of Japan,"14 [FUKUOKA]-036;YAMAGUCHI;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Ube-Tobu"
japan_uchinoura,"Uchinoura, Kagoshima, Japan",https://www.gsj.jp/Map/EN/geology4-15.html,Geology of the Uchinoura District,"Tamotsu NOZAWA, Ryohei OTA",1967,https://www.gsj.jp/Map/EN/docs/5man_doc/15/15_102.htm,,Geological Survey of Japan,"15 [KAGOSHIMA]-102;KAGOSHIMA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Uchinoura District
japan_ueno,"Ueno, Mie, Shiga, Kyoto, Nara, Japan",https://www.gsj.jp/Map/EN/geology4-11.html,Geology of the Ueno District,"Takayuki KAWANABE, Yuhei TAKAHASHI, Ryoji KOMURA and Yusaku TAGUCHI",1996,https://www.gsj.jp/Map/EN/docs/5man_doc/11/11_053.htm,,Geological Survey of Japan,"11ï¼»KYOTOï¼½-053;MIE, SHIGA, KYOTO, NARA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Ueno District
japan_ugo_hamada,"Ugo Hamada, Akita, Japan",https://www.gsj.jp/Map/EN/geology4-5.html,Geology of the Ugo-Hamada District,"Atsushi OZAWA, Akira KUJIRAOKA, Yasuo AWATA and Junji NAKAI",1985,https://www.gsj.jp/Map/EN/docs/5man_doc/05/05_051.htm,,Geological Survey of Japan,"05ï¼»AOMORIï¼½-051;AKITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Ugo-Hamada District
japan_ugo_wada,"Ugo Wada, Akita, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Ugo-Wada District,"Kazuo HUZIOKA, Atsushi OZAWA and Yutaka IKEBE",1976,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_019.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-019;AKITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Ugo-Wada District
japan_uozu,"Uozu, Toyama, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,Geology of the Uozu District,"Yasuo SUMI, Tamotsu NOZAWA",1972,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_023.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-023;TOYAMA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Uozu District
japan_urago,"Urago, Shimane, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,Geology of the Urago District,"Tokiko CHIBA, Nobuyuki KANEKO and Kazuhiko KANO",2000,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_002.htm,,Geological Survey of Japan,"12 [OKAYAMA]-002;SHIMANE;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Urago District
japan_usuki,"Usuki, Oita, Japan",https://www.gsj.jp/Map/EN/geology4-14.html,Geology of the Usuki District,"Nobukazu KAMBE, Yoji TERAOKA",1968,https://www.gsj.jp/Map/EN/docs/5man_doc/14/14_088.htm,,Geological Survey of Japan,"14 [FUKUOKA]-088;OITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Usuki District
japan_uwajima,"Uwajima, Ehime, Kochi, Japan",https://www.gsj.jp/Map/EN/geology4-13.html,Geology of the Uwajima District,"Yoji TERAOKA, Yukio IKEDA and Naruhiko KASHIMA",1986,https://www.gsj.jp/Map/EN/docs/5man_doc/13/13_077.htm,,Geological Survey of Japan,"13 [KOCHI]-077;EHIME, KOCHI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Uwajima District
japan_uzen_kaneyama,"Uzen Kaneyama, Yamagata, Akita, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,"Explanatory Text of the Geological Map of Japan, Uzen-Kaneyama","Atsushi OZAWA, Kiyoshi SUMI",1961,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_057.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-057;YAMAGATA, AKITA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Uzen-Kaneyama"
japan_wakasa,"Wakasa, Tottori, Hyogo, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,Geology of the Wakasa District,"Fujio UEMURA, Toru SAKAMOTO and Naotoshi YAMADA",1979,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_022.htm,,Geological Survey of Japan,"12 [OKAYAMA]-022;TOTTORI, HYOGO;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Wakasa District
japan_wakayanagi,"Wakayanagi, Miyagi, Iwate, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Wakayanagi District,Kyuya MATSUNO,1967,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_069.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-069;MIYAGI, IWATE;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Wakayanagi District
japan_wakinosawa,"Wakinosawa, Aomori, Japan",https://www.gsj.jp/Map/EN/geology4-5.html,Geology of the Wakinosawa District,Fujio UEMURA,1976,https://www.gsj.jp/Map/EN/docs/5man_doc/05/05_012.htm,,Geological Survey of Japan,"05ï¼»AOMORIï¼½-012;AOMORI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Wakinosawa District
japan_wakuya,"Wakuya, Miyagi, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Wakuya District,"Hyoichi TAKAHASHI, Kyuya MATSUNO",1969,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_078.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-078;MIYAGI;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Wakuya District
japan_yakeishi_dake,"Yakeishidake, Iwate, Akita, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,"Explanatory Text of the Geological Map of Japan, Yakeishidake",Nobu KITAMURA,1965,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_050.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-050;IWATE, AKITA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Yakeishidake"
japan_yamasaki,"Yamasaki, Hyogo, Japan",https://www.gsj.jp/Map/EN/geology4-12.html,Geology of the Yamasaki District,"Takahiro YAMAMOTO, Chikao KURIMOTO and Toshikazu YOSHIOKA",2002,https://www.gsj.jp/Map/EN/docs/5man_doc/12/12_046.htm,,"Geological Survey of Japan, AIST","12 [OKAYAMA]-046;HYOGO;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yamasaki District
japan_yari_ga_take,"Yarigatake, Nagano, Toyama, Gifu, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,Geology of the Yarigatake District,"Satoru HARAYAMA, Makoto TAKEUCHI, Shun NAKANO, Taisei SATO and Fuminori TAKIZAWA",1991,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_037.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-037;NAGANO, TOYAMA, GIFU;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yarigatake District
japan_yashima,"Yashima, Akita, Japan",https://www.gsj.jp/Map/EN/geology4-6.html,Geology of the Yashima District,"Atsushi OZAWA, Tadami KATAHIRA, Shun NAKANO, Nobuyuki TSUCHIYA and Yasuo AWATA",1988,https://www.gsj.jp/Map/EN/docs/5man_doc/06/06_038.htm,,Geological Survey of Japan,"06ï¼»AKITAï¼½-038;AKITA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yashima District
japan_yatsu_ga_take,"Yatsugatake, Yamanashi, Nagano, Japan",https://www.gsj.jp/Map/EN/geology4-8.html,Geology of the Yatsugatake District,Shimpei KAWACHI,1977,https://www.gsj.jp/Map/EN/docs/5man_doc/08/08_035.htm,,Geological Survey of Japan,"08ï¼»TOKYOï¼½-035;YAMANASHI, NAGANO;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yatsugatake District
japan_yatsuo,"Yatsuo, Toyama, Japan",https://www.gsj.jp/Map/EN/geology4-10.html,"Explanatory Text of the Geological Map of Japan, Yatsuo","Tamotsu NOZAWA, Toru SAKAMOTO",1960,https://www.gsj.jp/Map/EN/docs/5man_doc/10/10_028.htm,,Geological Survey of Japan,"10ï¼»KANAZAWAï¼½-028;TOYAMA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Yatsuo"
japan_yawatahama,"Yawatahama, Ehime, Japan",https://www.gsj.jp/Map/EN/geology4-13.html,"Explanatory Text of the Geological Map of Japan, Yawatahama and Iyo-Takayama (13[KOCHI] -068, 076)","Ken HIRAYAMA, Nobukazu KAMBE",1957,https://www.gsj.jp/Map/EN/docs/5man_doc/13/13_068.htm,,Geological Survey of Japan,"13 [KOCHI]-068;EHIME;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Yawatahama and Iyo-Takayama (13[KOCHI] -068, 076)"
japan_yobuko,"Yobuko, Saga, Japan",https://www.gsj.jp/Map/EN/geology4-14.html,"Explanatory Text of the Geological Map of Japan, Yobuko","Isamu KOBAYASHI, Isao IMAI and Kazunori MATSUI",1955,https://www.gsj.jp/Map/EN/docs/5man_doc/14/14_049.htm,,Geological Survey of Japan,"14 [FUKUOKA]-049;SAGA;Quadrangle Series 1:50,000",50000,"Japanese, English","Explanatory Text of the Geological Map of Japan, Yobuko"
japan_yokohama,"Yokohama, Kanagawa, Japan",https://www.gsj.jp/Map/EN/geology4-8.html,Geology of the Yokohama District,"Takashi MITSUNASHI, Takao KIKUCHI",1982,https://www.gsj.jp/Map/EN/docs/5man_doc/08/08_074.htm,,Geological Survey of Japan,"08ï¼»TOKYOï¼½-074;KANAGAWA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yokohama District
japan_yokosuka,"Yokosuka, Kanagawa, Japan",https://www.gsj.jp/Map/EN/geology4-8.html,Geology of the Yokosuka District,"Tetsuto ETO, Kiyotsura YAZAKI, Atsushi URABE and Ichiyo ISOBE",1998,https://www.gsj.jp/Map/EN/docs/5man_doc/08/08_084.htm,,Geological Survey of Japan,"08ï¼»TOKYOï¼½-084;KANAGAWA;Quadrangle Series 1:50,000",50000,"Japanese, English",Geology of the Yokosuka District
